id,state,additions,deletions,files_changed,description_length,analysis_time_h
2898960121,closed,0,0,0,656,0.29055555555555557
2898897722,closed,0,0,0,357,0.20416666666666666
2898883665,closed,0,0,0,261,0.24638888888888888
2898746904,closed,0,0,0,719,0.9972222222222222
2898713973,closed,0,0,0,188,0.19972222222222222
2898634273,closed,0,0,0,492,0.19833333333333333
2898601665,closed,0,0,0,351,0.23916666666666667
2898571289,closed,0,0,0,344,0.21805555555555556
2898520667,closed,0,0,0,96,0.20027777777777778
2898465862,closed,0,0,0,125,0.32222222222222224
2898448573,closed,0,0,0,351,0.2575
2898445915,closed,0,0,0,142,1.7855555555555556
2898363188,closed,0,0,0,55,1.6836111111111112
2898202233,closed,0,0,0,351,4.740833333333334
2898076154,closed,0,0,0,11,2.173611111111111
2898055042,closed,0,0,0,55,0.25722222222222224
2897915910,closed,0,0,0,640,1.4313888888888888
2897772520,closed,0,0,0,94,1.2969444444444445
2897684075,closed,0,0,0,357,1.3777777777777778
2897641920,closed,0,0,0,276,1.571388888888889
2897631068,closed,0,0,0,125,0.6558333333333334
2897622272,closed,0,0,0,0,0.19944444444444445
2897552924,closed,0,0,0,383,0.21583333333333332
2897541767,closed,0,0,0,351,2.6333333333333333
2897516825,closed,0,0,0,27,0.37027777777777776
2897461762,closed,0,0,0,11,0.5180555555555556
2897440505,closed,0,0,0,55,0.37166666666666665
2897431800,closed,0,0,0,53,0.1986111111111111
2897276885,closed,0,0,0,351,2.1422222222222222
2897123902,closed,0,0,0,11,2.255
2897095457,closed,0,0,0,286,2.2733333333333334
2897018541,closed,0,0,0,344,2.02
2896791903,closed,0,0,0,344,0.4386111111111111
2896737201,closed,0,0,0,11,2.073611111111111
2896728305,closed,0,0,0,11,0.8227777777777778
2896719982,closed,0,0,0,276,1.0327777777777778
2896585431,closed,0,0,0,0,0.19916666666666666
2895986829,closed,0,0,0,369,13.723333333333333
2895888193,closed,0,0,0,398,1.4691666666666667
